domeinnaam,URL,Organisatietype,Organisatie,Suborganisatie,Afdeling
atr-regeldruk.nl,http://www.atr-regeldruk.nl,Overheid,EZK,ATR,
authenticatie.inspectieview.nl,http://authenticatie.inspectieview.nl,Rijksoverheid,IenW,ILT,
autoriteitnvs.nl,http://www.autoriteitnvs.nl,Rijksoverheid,IenW,ANVS,
autoriteitpersoonsgegevens.nl,http://www.autoriteitpersoonsgegevens.nl,Overheid,JenV,AP,
avghelpdeskzorg.nl,http://www.avghelpdeskzorg.nl,Rijksoverheid,VWS,,Kerndepartement/DI/CIO
avgregisterrijksoverheid.nl,http://www.avgregisterrijksoverheid.nl,Rijksoverheid,EZK,,STAF DB
awti.nl,http://www.awti.nl,Overheid,OCW,AWTI,
bag.basisregistraties.overheid.nl,http://bag.basisregistraties.overheid.nl,Overheid,BZK,Kadaster,
bagviewer.kadaster.nl,http://bagviewer.kadaster.nl,Overheid,BZK,Kadaster,
basisinformatie-overstromingen.nl,http://basisinformatie-overstromingen.nl,Rijksoverheid,IenW,RWS,
basismonitoringwadden.waddenzee.nl,http://basismonitoringwadden.waddenzee.nl,Rijksoverheid,IenW,RWS,
basisregistratieondergrond.nl,http://basisregistratieondergrond.nl,Rijksoverheid,BZK,,
bbsh.datawonen.nl,http://bbsh.datawonen.nl,Rijksoverheid,BZK,,
bco-portaal.nl,http://www.bco-portaal.nl,Rijksoverheid,VWS,,Kerndepartement/DI/CIO
bdcommunicatie.pleio.nl,http://bdcommunicatie.pleio.nl,Rijksoverheid,FIN,Belastingdienst,
bdmuseum.nl,http://www.bdmuseum.nl,Rijksoverheid,FIN,Belastingdienst,Belasting & Douanemuseum
bedrijfscommissieoverheid.nl,http://www.bedrijfscommissieoverheid.nl,Overheid,BZK,Bedrijfscommissie voor de Overheid,
bedrijvenbeleidinbeeld.nl,http://www.bedrijvenbeleidinbeeld.nl,Rijksoverheid,EZK,RVO,DG B&I TOP
beeldbank.cultureelerfgoed.nl,http://beeldbank.cultureelerfgoed.nl,Rijksoverheid,OCW,RCE,
beeldbank.gebruikercentraal.nl,http://beeldbank.gebruikercentraal.nl,Rijksoverheid,BZK,,
beeldbank.rws.nl,http://beeldbank.rws.nl,Rijksoverheid,IenW,RWS,
beeldbieb.gebruikercentraal.nl,http://beeldbieb.gebruikercentraal.nl,Rijksoverheid,BZK,,
beeldenvanderaad.nl,http://www.beeldenvanderaad.nl,Overheid,RvS,,
beeldkompas.nl,http://www.beeldkompas.nl,Rijksoverheid,AZ,DPC,Beeldcentrum
beheerautoriteitwaddenzee.nl,http://www.beheerautoriteitwaddenzee.nl,Rijksoverheid,LNV,,BaW
beheerdetoekomst.nl,http://www.beheerdetoekomst.nl,Rijksoverheid,IenW,BSK,FIB
bekijkjepensioenregeling.nl,http://www.bekijkjepensioenregeling.nl,Rijksoverheid,FIN,,AGT/FM
belandadananda.nl,http://www.belandadananda.nl,Rijksoverheid,BUZA,Postenweb,
belastingdienst.nl,http://www.belastingdienst.nl,Rijksoverheid,FIN,Belastingdienst,
belastingdienst-cn.nl,http://www.belastingdienst-cn.nl,Rijksoverheid,FIN,Belastingdienst,CN
beleefdenationaleparken.nl,http://beleefdenationaleparken.nl,Overheid,LNV,Staatsbosbeheer,
bentwoud.staatsbosbeheer.nl,http://bentwoud.staatsbosbeheer.nl,Overheid,LNV,Staatsbosbeheer,
bereiknu.nl,http://bereiknu.nl,Rijksoverheid,IenW,RWS,WNZ
bes.kadaster.nl,http://bes.kadaster.nl,Overheid,BZK,Kadaster,
beschutaandebak.nl,http://www.beschutaandebak.nl,Rijksoverheid,SZW,,SG/C
bestrijdingsmiddelen-omwonenden.nl,http://www.bestrijdingsmiddelen-omwonenden.nl,Rijksoverheid,VWS,RIVM,
beterbenutten.nl,http://www.beterbenutten.nl,Rijksoverheid,IenW,,
bewustbodemgebruik.nl,http://bewustbodemgebruik.nl,Rijksoverheid,IenW,RWS,WVL
bezoekerscentrum.rijkswaterstaat.nl,http://bezoekerscentrum.rijkswaterstaat.nl,Rijksoverheid,IenW,RWS,
bezorgdedienders.nl,http://www.bezorgdedienders.nl,Overheid,JenV,Politie,
bibliopolis.nl,http://www.bibliopolis.nl,Overheid,OCW,KB,
bics.nl,http://www.bics.nl,Rijksoverheid,IenW,RWS,
bidbook.eu,http://www.bidbook.eu,Rijksoverheid,BZK,RVB,DGVRB
biedboek.nl,http://www.biedboek.nl,Rijksoverheid,BZK,RVB,DGVRB
bigregister.nl,http://www.bigregister.nl,Rijksoverheid,VWS,CIBG,
binnenhofrenovatie.nl,http://www.binnenhofrenovatie.nl,Rijksoverheid,BZK,RVB,
binnl.nl,http://www.binnl.nl,Rijksoverheid,EZK,,CHIEF EC AEP
biociden.nl,http://www.biociden.nl,Rijksoverheid,VWS,RIVM,
biodiversiteit.nl,http://www.biodiversiteit.nl,Rijksoverheid,LNV,SK&I,DG AGRO
bio-enerco.com,http://www.bio-enerco.com,Overheid,LNV,Staatsbosbeheer,
biogem.nl,http://www.biogem.nl,Overheid,EZK,RVO,
bio-overheid.nl,http://bio-overheid.nl,Overheid,SZW,UWV,
biosecuritykwetsbaarheidsanalyse.nl,http://www.biosecuritykwetsbaarheidsanalyse.nl,Rijksoverheid,VWS,RIVM,
biosecurityselfscan.nl,http://www.biosecurityselfscan.nl,Rijksoverheid,VWS,RIVM,
biosecurityvulnerabilityscan.nl,http://www.biosecurityvulnerabilityscan.nl,Rijksoverheid,VWS,RIVM,
biosecurityzelfscan.nl,http://www.biosecurityzelfscan.nl,Rijksoverheid,VWS,RIVM,
biotechnologie.nl,http://biotechnologie.nl,Rijksoverheid,IenW,BSK,DGMI
biotechnologie.rivm.nl,http://biotechnologie.rivm.nl,Rijksoverheid,VWS,RIVM,
bkd.eu,http://www.bkd.eu,Overheid,LNV,BKD,
bkwi.nl,http://www.bkwi.nl,Overheid,SZW,UWV,BKWI
blankenburgverbinding.nl,http://www.blankenburgverbinding.nl,Rijksoverheid,IenW,RWS,
blauwegolfverbindend.nl,http://www.blauwegolfverbindend.nl,Rijksoverheid,IenW,RWS,CIV
bmw9520.waddenzee.nl,http://bmw9520.waddenzee.nl,Rijksoverheid,IenW,RWS,
boa-expertisecentrum.nl,http://www.boa-expertisecentrum.nl,Rijksoverheid,JenV,,
bodemambities.nl,http://www.bodemambities.nl,Rijksoverheid,VWS,RIVM,
bodemloket.nl,http://www.bodemloket.nl,Rijksoverheid,IenW,RWS,WVL
bodemplus.nl,http://www.bodemplus.nl,Rijksoverheid,IenW,RWS,WVL
bodemrichtlijn.nl,http://www.bodemrichtlijn.nl,Rijksoverheid,IenW,RWS,WVL
bodemvizier.nl,http://www.bodemvizier.nl,Rijksoverheid,IenW,RWS,WVL
boetebase.om.nl,http://boetebase.om.nl,Overheid,JenV,OM,
bofeb.nl,http://www.bofeb.nl,Rijksoverheid,EZK,,
bom.pleio.nl,http://bom.pleio.nl,Rijksoverheid,BZK,Logius,BFS
boswachtersblog.nl,http://www.boswachtersblog.nl,Overheid,LNV,Staatsbosbeheer,
bouwcollege.nl,http://www.bouwcollege.nl,Overheid,VWS,CBZ,
bouwplaatsirm.nl,http://www.bouwplaatsirm.nl,Rijksoverheid,IenW,BSK,DGWB
braic.nl,http://www.braic.nl,Rijksoverheid,DEF,MGGZ,
brandweer.nl,http://www.brandweer.nl,Overheid,JenV,Brandweer,
brexitloket.nl,http://www.brexitloket.nl,Rijksoverheid,EZK,RVO,
brk.basisregistraties.overheid.nl,http://brk.basisregistraties.overheid.nl,Overheid,BZK,Kadaster,
broloket.nl,http://www.broloket.nl,Rijksoverheid,BZK,TNO,
bromonitor.nl,http://www.bromonitor.nl,Rijksoverheid,BZK,,DGBRW/RO
bronhouderportaal-bro.nl,http://www.bronhouderportaal-bro.nl,Rijksoverheid,BZK,,
brt.basisregistraties.overheid.nl,http://brt.basisregistraties.overheid.nl,Overheid,BZK,Kadaster,
brzoplus.nl,http://brzoplus.nl,Rijksoverheid,IenW,RWS,WVL
bsv.nu,http://www.bsv.nu,Rijksoverheid,IenW,,
btiv.datawonen.nl,http://btiv.datawonen.nl,Rijksoverheid,BZK,,
building-with-nature.eu,http://building-with-nature.eu,Rijksoverheid,IenW,RWS,
buitenlevenvakanties.nl,http://www.buitenlevenvakanties.nl,Overheid,LNV,Staatsbosbeheer,
bun-k.nl,http://bun-k.nl,Rijksoverheid,IenW,RWS,
bureaubiosecurity.nl,http://www.bureaubiosecurity.nl,Rijksoverheid,VWS,RIVM,
bureauft.nl,http://www.bureauft.nl,Overheid,JenV,BFT,
bureauncdr.nl,http://www.bureauncdr.nl,Rijksoverheid,BZK,,
bureausaneringverkeerslawaai.nl,http://www.bureausaneringverkeerslawaai.nl,Rijksoverheid,IenW,BSK,DGMI
bureautoetsinginvesteringen.nl,http://www.bureautoetsinginvesteringen.nl,Rijksoverheid,EZK,,DG B&I DE
burgernet.nl,http://www.burgernet.nl,Overheid,JenV,Politie,
business.gov.nl,http://business.gov.nl,Overheid,EZK,KvK,
bzksocialmedia.nl,http://bzksocialmedia.nl,Rijksoverheid,BZK,,
c2000.nl,http://www.c2000.nl,Overheid,JenV,Politie,
campagnetoolkits.nl,http://www.campagnetoolkits.nl,Rijksoverheid,AZ,DPC,Campagnemanagement
cannabisbureau.nl,http://www.cannabisbureau.nl,Rijksoverheid,VWS,CIBG,
caop.nl,http://www.caop.nl,Overheid,CAOP,,
caorijk.nl,http://www.caorijk.nl,Rijksoverheid,BZK,DGOO/A&O,
cas2021.com,http://www.cas2021.com,Rijksoverheid,IenW,,
cas2021.nl,http://www.cas2021.nl,Rijksoverheid,IenW,,
catalogus.cultureelerfgoed.nl,http://catalogus.cultureelerfgoed.nl,Rijksoverheid,OCW,RCE,
cbgcollegedag.nl,http://www.cbgcollegedag.nl,Overheid,VWS,CBG,
cbgjaarverslag.nl,http://www.cbgjaarverslag.nl,Overheid,VWS,CBG,
cbg-meb.nl,http://www.cbg-meb.nl,Overheid,VWS,CBG,
cbhc.hetcak.nl,http://cbhc.hetcak.nl,Overheid,VWS,CAK,
cbho.nl,http://www.cbho.nl,Overheid,OCW,CBHO,
cbi.eu,http://www.cbi.eu,Rijksoverheid,EZK,RVO,
cbpbes.com,http://cbpbes.com,Overheid,JenV,,
cbr.nl,http://www.cbr.nl,Overheid,IenW,CBR,
cbs.nl,http://www.cbs.nl,Overheid,EZK,CBS,
cbsinuwbuurt.nl,http://cbsinuwbuurt.nl,Overheid,EZK,CBS,
ccmo.nl,http://www.ccmo.nl,Overheid,VWS,,Kerndepartement/CCMO
cea.nl,http://www.cea.nl,Overheid,FIN,CEA,
ceg.nl,http://www.ceg.nl,Overheid,VWS,,Kerndepartement/RVS
centraalaanspreekpuntpensioenen.belastingdienst.nl,http://centraalaanspreekpuntpensioenen.belastingdienst.nl,Rijksoverheid,FIN,Belastingdienst,CAP
centralecommissiedierproeven.nl,http://www.centralecommissiedierproeven.nl,Rijksoverheid,EZK,RVO,CCD
centraleeindtoetspo.nl,http://www.centraleeindtoetspo.nl,Rijksoverheid,OCW,CVTE,
centruminternationaalrecht.nl,http://www.centruminternationaalrecht.nl,Rijksoverheid,BUZA,,
cert.nl,http://www.cert.nl,Overheid,JenV,CERT,
cert.pkioverheid.nl,http://cert.pkioverheid.nl,Rijksoverheid,BZK,Logius,Toeg team levering 2
checkjebrexit.nl,http://www.checkjebrexit.nl,Rijksoverheid,BUZA,,
chemischestoffengoedgeregeld.nl,http://www.chemischestoffengoedgeregeld.nl,Rijksoverheid,VWS,RIVM,
chw.aandeslagmetdeomgevingswet.nl,http://chw.aandeslagmetdeomgevingswet.nl,Overheid,BZK,,DGBRW/PDADS
cibg.nl,http://www.cibg.nl,Rijksoverheid,VWS,CIBG,
cibgacademie.nl,http://www.cibgacademie.nl,Rijksoverheid,VWS,CIBG,
cip-overheid.nl,http://cip-overheid.nl,Overheid,SZW,UWV,
circularandfairictpact.com,http://circularandfairictpact.com,Rijksoverheid,IenW,RWS,WVL
circularfestivals.nl,http://www.circularfestivals.nl,Rijksoverheid,IenW,BSK,DGMI
cito.nl,http://www.cito.nl,Overheid,OCW,CITO,
ciz.databank.nl,http://ciz.databank.nl,Rijksoverheid,VWS,,
ciz.nl,http://www.ciz.nl,Overheid,VWS,CIZ,
cjib.nl,http://www.cjib.nl,Rijksoverheid,JenV,CJIB,
ckmbo.nl,http://ckmbo.nl,Overheid,OCW,CKMBO,
clientondersteuning.co.nl,http://www.clientondersteuning.co.nl,Rijksoverheid,VWS,,Kerndepartement/LZ
clo.nl,http://www.clo.nl,Rijksoverheid,IenW,PBL,
co.formulierdus-i.nl,http://co.formulierdus-i.nl,Rijksoverheid,VWS,,Kerndepartement/DUS-I
co2emissiefactoren.nl,http://www.co2emissiefactoren.nl,Rijksoverheid,IenW,RWS,WVL
coa.nl,http://www.coa.nl,Overheid,JenV,COA,
cocreatesa.nl,http://cocreatesa.nl,Rijksoverheid,BUZA,,
codexalimentarius.nl,http://www.codexalimentarius.nl,Rijksoverheid,LNV,,DG AGRO PAV
cogemjaarverslag.net,http://www.cogemjaarverslag.net,Rijksoverheid,VWS,RIVM,
cokz.nl,http://www.cokz.nl,Overheid,LNV,COKZ,
coldcasekalender.nl,http://www.coldcasekalender.nl,Overheid,JenV,Politie,
collectie.herkomstgezocht.nl,http://collectie.herkomstgezocht.nl,Overheid,OCW,KB,
collectienederland.nl,http://www.collectienederland.nl,Rijksoverheid,OCW,RCE,
collegesanering.nl,http://www.collegesanering.nl,Overheid,VWS,CSZ,
collegevanrijksadviseurs.nl,http://www.collegevanrijksadviseurs.nl,Rijksoverheid,BZK,RVB,
collegiaal.zorginstituutnederland.nl,http://collegiaal.zorginstituutnederland.nl,Rijksoverheid,VWS,ZIN,
commabz.nl,http://commabz.nl,Rijksoverheid,BUZA,AIB,
commissiebbv.nl,http://www.commissiebbv.nl,Rijksoverheid,BZK,,
commissiemijnbouwschade.nl,http://www.commissiemijnbouwschade.nl,Rijksoverheid,EZK,RVO,
commissievanaanbestedingsexperts.nl,http://www.commissievanaanbestedingsexperts.nl,Rijksoverheid,EZK,,CHIEF EC MC
commit2data.nl,http://commit2data.nl,Overheid,EZK,ECP,
communicatierijk.nl,http://www.communicatierijk.nl,Rijksoverheid,AZ,DPC,Academie
conference.gebruikercentraal.nl,http://conference.gebruikercentraal.nl,Rijksoverheid,BZK,,
congres.destaatvanhetonderwijs.nl,http://congres.destaatvanhetonderwijs.nl,Rijksoverheid,OCW,OI,
consular.mfaservices.nl,http://consular.mfaservices.nl,Rijksoverheid,BUZA,,
consuwijzer.nl,http://www.consuwijzer.nl,Overheid,EZK,ACM,
contactpuntbouwproducten.nl,http://www.contactpuntbouwproducten.nl,Rijksoverheid,BZK,,
contenttoolsrijksoverheid.nl,http://www.contenttoolsrijksoverheid.nl,Rijksoverheid,AZ,DPC,Redactie
coordinatiestroomlijn.nl,http://www.coordinatiestroomlijn.nl,Rijksoverheid,IenW,RWS,
coronacheck.nl,http://coronacheck.nl,Rijksoverheid,VWS,,Kerndepartement/DI/CIO
coronaconflict.nl,http://coronaconflict.nl,Rijksoverheid,VWS,,Kerndepartement/PDC19
coronadashboard.government.nl,http://coronadashboard.government.nl,Rijksoverheid,VWS,,Kerndepartement/PDC19
coronadashboard.rijksoverheid.nl,http://coronadashboard.rijksoverheid.nl,Rijksoverheid,VWS,,Kerndepartement/PDC19
coronamelder.nl,http://www.coronamelder.nl,Rijksoverheid,VWS,,Kerndepartement/DI/CIO
coronarekening.rekenkamer.nl,http://coronarekening.rekenkamer.nl,Overheid,AR,,
coronatest.nl,http://coronatest.nl,Rijksoverheid,VWS,,Kerndepartement/PDC19
corpolitie.nl,http://www.corpolitie.nl,Overheid,JenV,Politie,
corporaties.datawonen.nl,http://corporaties.datawonen.nl,Rijksoverheid,BZK,,
corridoramsterdamhoorn.nl,http://www.corridoramsterdamhoorn.nl,Rijksoverheid,IenW,,
cosmeticaklachten.nl,http://www.cosmeticaklachten.nl,Rijksoverheid,VWS,RIVM,
courtmh17.com,http://www.courtmh17.com,Overheid,JenV,RvdR,
covidbehaviouralchallenge.nl,http://www.covidbehaviouralchallenge.nl,Rijksoverheid,EZK,,CHIEF EC AEP
covm.nl,http://www.covm.nl,Rijksoverheid,BZK,RVB,
cpb.nl,http://www.cpb.nl,Rijksoverheid,EZK,CPB,
cps.pkioverheid.nl,http://cps.pkioverheid.nl,Rijksoverheid,BZK,Logius,Toeg team levering 2
crimediggers.nl,http://www.crimediggers.nl,Overheid,JenV,Politie,
criminaliteitinbeeld.nl,http://www.criminaliteitinbeeld.nl,Overheid,EZK,CBS,
crisis.nl,http://crisis.nl,Rijksoverheid,JenV,NCTV,
crisistest.nl,http://crisistest.nl,Rijksoverheid,JenV,NCTV,
crl.pkioverheid.nl,http://crl.pkioverheid.nl,Rijksoverheid,BZK,Logius,Toeg team levering 2
csirtdsp.nl,http://www.csirtdsp.nl,Rijksoverheid,EZK,,DG B&I DE-CSIRT
cs-portaal.procesinfrastructuur.nl,http://cs-portaal.procesinfrastructuur.nl,Rijksoverheid,BZK,Logius,Keteninf/Digipoort
