domeinnaam,URL,Organisatietype,Organisatie,Suborganisatie,Afdeling
gerned380kv.nl,http://www.gerned380kv.nl,Rijksoverheid,EZK,,DGETM/TeNNeT
ger-ned380kv.nl,http://www.ger-ned380kv.nl,Rijksoverheid,EZK,,DGETM/TeNNeT
geschiedenis.reclassering.nl,http://geschiedenis.reclassering.nl,Overheid,JenV,RN,
geschilleninstantieszorg.nl,http://www.geschilleninstantieszorg.nl,Rijksoverheid,VWS,CIBG,
getij.rws.nl,http://getij.rws.nl,Rijksoverheid,IenW,RWS,
gezondekinderopvang.nl,http://www.gezondekinderopvang.nl,Rijksoverheid,VWS,RIVM,
gezondeleefomgeving.nl,http://www.gezondeleefomgeving.nl,Rijksoverheid,IenW,RWS,
gezondeschool.nl,http://www.gezondeschool.nl,Rijksoverheid,VWS,RIVM,
gezondheidsraad.nl,http://www.gezondheidsraad.nl,Overheid,VWS,,Kerndepartement/GR
ggo-vergunningverlening.nl,http://www.ggo-vergunningverlening.nl,Rijksoverheid,VWS,RIVM,
ggo-vergunningverlening-zoeken.nl,http://www.ggo-vergunningverlening-zoeken.nl,Rijksoverheid,VWS,RIVM,
gipdatabank.nl,http://www.gipdatabank.nl,Rijksoverheid,VWS,ZIN,
gipinfo.nl,http://www.gipinfo.nl,Overheid,SZW,SVB,
globemission.eu,http://www.globemission.eu,Rijksoverheid,IenW,KNMI,
globio.info,http://www.globio.info,Rijksoverheid,IenW,PBL,
gobiernodireino.nl,http://www.gobiernodireino.nl,Rijksoverheid,BZK,,
gobiernudireino.nl,http://www.gobiernudireino.nl,Rijksoverheid,BZK,,
gov4nano.eu,http://www.gov4nano.eu,Rijksoverheid,VWS,RIVM,
government.nl,http://www.government.nl,Rijksoverheid,AZ,DPC,Online Advies
gratisvog.nl,http://www.gratisvog.nl,Rijksoverheid,VWS,CIBG,
greendeals.nl,http://www.greendeals.nl,Rijksoverheid,EZK,RVO,
grensdata.eu,http://grensdata.eu,Overheid,EZK,CBS,
grensinfo.nl,http://www.grensinfo.nl,Overheid,SZW,SVB,
grenzeloossamenwerken.pleio.nl,http://grenzeloossamenwerken.pleio.nl,Rijksoverheid,BZK,,DGOO
groei.versnellingshuisce.nl,http://groei.versnellingshuisce.nl,Rijksoverheid,IenW,BSK,DGMI
groenalliantiemiddenholland.nl,http://www.groenalliantiemiddenholland.nl,Overheid,LNV,Staatsbosbeheer,
grondstoffenscanner.nl,http://www.grondstoffenscanner.nl,Rijksoverheid,EZK,RVO,
guaranteeforum.eu,http://guaranteeforum.eu,Rijksoverheid,EZK,RVO,
haaglandenveilig.nl,http://haaglandenveilig.nl,Overheid,JenV,Politie,
halt.nl,http://www.halt.nl,Overheid,JenV,RN,
handelingenbank.info,http://www.handelingenbank.info,Rijksoverheid,BZK,,
hansken.nl,http://www.hansken.nl,Rijksoverheid,JenV,NFI,
hansken.org,http://hansken.org,Rijksoverheid,JenV,NFI,
hcaict.nl,http://hcaict.nl,Overheid,EZK,ECP,
hcib.datawonen.nl,http://hcib.datawonen.nl,Rijksoverheid,BZK,,
healthcouncil.nl,http://www.healthcouncil.nl,Overheid,VWS,,Kerndepartement/GR
helpdeskbouwregels.nl,http://helpdeskbouwregels.nl,Rijksoverheid,BZK,,
helpdesk-efactureren.nl,http://www.helpdesk-efactureren.nl,Rijksoverheid,BZK,,DGOO/DS
helpdeskwater.nl,http://www.helpdeskwater.nl,Rijksoverheid,IenW,RWS,
hepatitis-and-u.nl,http://hepatitis-and-u.nl,Rijksoverheid,VWS,RIVM,
hepatitisonderzoek.nl,http://www.hepatitisonderzoek.nl,Rijksoverheid,VWS,RIVM,
hetcak.nl,http://www.hetcak.nl,Overheid,VWS,CAK,
heyhetisoke.nl,http://www.heyhetisoke.nl,Rijksoverheid,VWS,,Kerndepartement/DCO
higherlevel.nl,http://www.higherlevel.nl,Rijksoverheid,EZK,RVO,
hiswa.nl,http://www.hiswa.nl,Overheid,IenW,HISWA,
hld.rws.nl,http://hld.rws.nl,Rijksoverheid,IenW,RWS,
hoepakjijdataan.nl,http://www.hoepakjijdataan.nl,Overheid,VWS,Trimbos-instituut,
hoewerktnederland.nl,http://www.hoewerktnederland.nl,Rijksoverheid,SZW,,SG/C
hogeraad.nl,http://www.hogeraad.nl,Overheid,JenV,HR,
hogeraadvanadel.nl,http://www.hogeraadvanadel.nl,Overheid,HRvA,,
holandaevoce.nl,http://www.holandaevoce.nl,Rijksoverheid,BUZA,Postenweb,
holandanomundo.nl,http://www.holandanomundo.nl,Rijksoverheid,BUZA,Postenweb,
holandawaanta.nl,http://www.holandawaanta.nl,Rijksoverheid,BUZA,Postenweb,
hollandavesen.nl,http://www.hollandavesen.nl,Rijksoverheid,BUZA,Postenweb,
hollandnationalparks.com,http://hollandnationalparks.com,Overheid,LNV,Staatsbosbeheer,
hollands-hout.com,http://www.hollands-hout.com,Overheid,LNV,Staatsbosbeheer,
hoogspanningsverbinding.nl,http://www.hoogspanningsverbinding.nl,Rijksoverheid,EZK,,DGETM/TeNNeT
hoogspanningsverbindingen.nl,http://www.hoogspanningsverbindingen.nl,Rijksoverheid,EZK,,DGETM/TeNNeT
horizonscangeneesmiddelen.nl,http://www.horizonscangeneesmiddelen.nl,Rijksoverheid,VWS,ZIN,
houseofrepresentatives.nl,http://www.houseofrepresentatives.nl,Overheid,TK,,
huiselijkgeweld.nl,http://www.huiselijkgeweld.nl,Rijksoverheid,VWS,,Kerndepartement/DMO
huisstijl.belastingdienst.nl,http://huisstijl.belastingdienst.nl,Rijksoverheid,FIN,Belastingdienst,
huisvoorklokkenluiders.nl,http://www.huisvoorklokkenluiders.nl,Overheid,BZK,HvK,
hulpbijprivacy.nl,http://www.hulpbijprivacy.nl,Overheid,JenV,AP,
hulpmiddelenwijzer.nl,http://www.hulpmiddelenwijzer.nl,Rijksoverheid,VWS,,Kerndepartement/LZ
hulpmiddelenzorg.nl,http://www.hulpmiddelenzorg.nl,Rijksoverheid,VWS,,Kerndepartement/LZ
huurcommissie.nl,http://www.huurcommissie.nl,Overheid,BZK,HC,
hwbp.nl,http://www.hwbp.nl,Rijksoverheid,IenW,RWS,HWBP
iacs-kennisevenement.minjenv-events.nl,http://iacs-kennisevenement.minjenv-events.nl,Rijksoverheid,JenV,,
iamcdocumentation.eu,http://www.iamcdocumentation.eu,Rijksoverheid,IenW,PBL,
ibki.nl,http://www.ibki.nl,Overheid,IenW,IBKI,
icov.nl,http://icov.nl,Overheid,JenV,OM,
ictu.nl,http://www.ictu.nl,Overheid,ICTU,,
ideasfrom.eu,http://www.ideasfrom.eu,Overheid,LNV,WUR,
identifier.overheid.nl,http://identifier.overheid.nl,Overheid,BZK,UBR,KOOP
identiteitsdocumenten.nl,http://www.identiteitsdocumenten.nl,Rijksoverheid,JenV,IND,
iedereendoetwat.nl,http://www.iedereendoetwat.nl,Rijksoverheid,EZK,,DG K&E K
iedereenondereendak.nl,http://www.iedereenondereendak.nl,Rijksoverheid,VWS,,Kerndepartement/DMO
ienc-kennisportaal.nl,http://ienc-kennisportaal.nl,Rijksoverheid,IenW,RWS,
ienw-datadagen.nl,http://ienw-datadagen.nl,Rijksoverheid,IenW,,
ifv.nl,http://www.ifv.nl,Overheid,JenV,IFV,
igj.nl,http://www.igj.nl,Rijksoverheid,VWS,IGJ,
igjacademie.nl,http://www.igjacademie.nl,Rijksoverheid,VWS,IGJ,
ihw.nl,http://www.ihw.nl,Rijksoverheid,IenW,RWS,WVL
iinterimrijk.nl,http://www.iinterimrijk.nl,Rijksoverheid,BZK,UBR,I-Interim Rijk
ikbenhandelaar.nl,http://www.ikbenhandelaar.nl,Overheid,JenV,Politie,
ikgrijpin.nederlandveilig.nl,http://ikgrijpin.nederlandveilig.nl,Rijksoverheid,JenV,,
ikpasophetwad.nl,http://www.ikpasophetwad.nl,Rijksoverheid,IenW,RWS,
ikvermoedhuiselijkgeweld.nl,http://www.ikvermoedhuiselijkgeweld.nl,Rijksoverheid,VWS,,Kerndepartement/DMO
ikz.nl,http://www.ikz.nl,Overheid,VWS,NZa,
ilent.nl,http://www.ilent.nl,Rijksoverheid,IenW,ILT,
immissietoets.nl,http://www.immissietoets.nl,Rijksoverheid,IenW,RWS,
impact-project.eu,http://www.impact-project.eu,Overheid,OCW,KB,
inburgeren.nl,http://www.inburgeren.nl,Rijksoverheid,OCW,DUO,
incca.org,http://www.incca.org,Rijksoverheid,OCW,RCE,
incidentmanagement.nl,http://www.incidentmanagement.nl,Rijksoverheid,IenW,RWS,
inclusie.gebruikercentraal.nl,http://inclusie.gebruikercentraal.nl,Rijksoverheid,BZK,,
inclusiekader.gebruikercentraal.nl,http://inclusiekader.gebruikercentraal.nl,Rijksoverheid,BZK,,
ind.nl,http://ind.nl,Rijksoverheid,JenV,IND,
infomil.nl,http://www.infomil.nl,Rijksoverheid,IenW,RWS,WVL
informatieberaadzorg.nl,http://www.informatieberaadzorg.nl,Rijksoverheid,VWS,,Kerndepartement/DI/CIO
informatiehuishouding.nl,http://www.informatiehuishouding.nl,Rijksoverheid,OCW,,
informatiehuismarien.nl,http://www.informatiehuismarien.nl,Rijksoverheid,IenW,RWS,
informatiepuntdigitaleoverheid.nl,http://www.informatiepuntdigitaleoverheid.nl,Overheid,VWS,CAK,
informatiepuntkinderopvangtoeslag.rijksoverheid.nl,http://informatiepuntkinderopvangtoeslag.rijksoverheid.nl,Rijksoverheid,FIN,,
informatieservice.nederlandwereldwijd.nl,http://informatieservice.nederlandwereldwijd.nl,Rijksoverheid,BUZA,Postenweb,
inhuurdeskpolitie.nl,http://www.inhuurdeskpolitie.nl,Overheid,JenV,Politie,
inkoopsociaaldomein.nl,http://www.inkoopsociaaldomein.nl,Rijksoverheid,VWS,,Kerndepartement/WJZ
in-made.nl,http://www.in-made.nl,Rijksoverheid,JenV,DJI,
innova58.nl,http://www.innova58.nl,Rijksoverheid,IenW,RWS,
innovatie-estafette.nl,http://www.innovatie-estafette.nl,Rijksoverheid,IenW,BSK,KIS
innovatietoezicht.nl,http://www.innovatietoezicht.nl,Rijksoverheid,IenW,ILT,
innoveermeemetjenv.nl,http://www.innoveermeemetjenv.nl,Rijksoverheid,JenV,,
innovember.nl,http://www.innovember.nl,Rijksoverheid,BZK,Rijks Innovatie Community ,
inspectiebtd.nl,http://www.inspectiebtd.nl,Rijksoverheid,FIN,,
inspectie-checklist.nl,http://www.inspectie-checklist.nl,Rijksoverheid,SZW,Inspectie SZW,
inspectie-jenv.nl,http://www.inspectie-jenv.nl,Rijksoverheid,JenV,Inspectie JenV,
inspectielandschap.nl,http://inspectielandschap.nl,Rijksoverheid,IenW,ILT,
inspectie-oe.nl,http://www.inspectie-oe.nl,Rijksoverheid,OCW,I-OE,
inspectieresultatenszw.nl,http://www.inspectieresultatenszw.nl,Rijksoverheid,SZW,Inspectie SZW,
inspectiewerkt.nl,http://www.inspectiewerkt.nl,Rijksoverheid,SZW,Inspectie SZW,
inspiratiedagduurzameveehouderij.nl,http://www.inspiratiedagduurzameveehouderij.nl,Overheid,LNV,,
inspireaanmerking.nl,http://inspireaanmerking.nl,Rijksoverheid,BZK,,
instellingsinformatie.duo.nl,http://instellingsinformatie.duo.nl,Rijksoverheid,OCW,DUO,
intermediairdagen.belastingdienst.nl,http://intermediairdagen.belastingdienst.nl,Rijksoverheid,FIN,Belastingdienst,CAP
internationaalondernemen.nl,http://www.internationaalondernemen.nl,Rijksoverheid,EZK,RVO,
internationalerechtshulp.nl,http://www.internationalerechtshulp.nl,Rijksoverheid,JenV,,
internationalstudy.nl,http://www.internationalstudy.nl,Overheid,OCW,DUO,GHO
internetconsultatie.nl,http://www.internetconsultatie.nl,Rijksoverheid,JenV,,
internetspiegel.nl,http://www.internetspiegel.nl,Rijksoverheid,BZK,,
interspeciesinfo.com,http://www.interspeciesinfo.com,Rijksoverheid,VWS,RIVM,
investinholland.com,http://investinholland.com,Rijksoverheid,EZK,RVO,
invest-nl.nl,http://www.invest-nl.nl,Overheid,EZK,RVO,Invest-NL
iob-evaluatie.nl,http://www.iob-evaluatie.nl,Rijksoverheid,BUZA,IOB,
iplo.nl,http://iplo.nl,Rijksoverheid,IenW,RWS,WVL
isd.acc.owinsp.nl,http://isd.acc.owinsp.nl,Rijksoverheid,OCW,OI,
ishetafval.nl,http://www.ishetafval.nl,Rijksoverheid,IenW,RWS,
istandaarden.nl,http://www.istandaarden.nl,Rijksoverheid,VWS,ZIN,
it.kombijdepolitie.nl,http://it.kombijdepolitie.nl,Overheid,JenV,Politie,
it-academieoverheid.nl,http://www.it-academieoverheid.nl,Rijksoverheid,BZK,,
itscorridor.mett.nl,http://itscorridor.mett.nl,Rijksoverheid,IenW,RWS,
itsoverzicht.connectingmobility.nl,http://itsoverzicht.connectingmobility.nl,Rijksoverheid,IenW,RWS,
iuc-noord.nl,http://www.iuc-noord.nl,Rijksoverheid,OCW,DUO,
ivd.nl,http://www.ivd.nl,Rijksoverheid,DEF,IVD,
ivho.docebosaas.com,http://ivho.docebosaas.com,Rijksoverheid,OCW,OI,
jaarberichtrijkswaterstaat.nl,http://www.jaarberichtrijkswaterstaat.nl,Rijksoverheid,IenW,RWS,
jaarverantwoordingzorg.nl,http://www.jaarverantwoordingzorg.nl,Rijksoverheid,VWS,,
jaarverslag.dopingautoriteit.nl,http://jaarverslag.dopingautoriteit.nl,Overheid,VWS,DA,
jaarverslag.justis.nl,http://jaarverslag.justis.nl,Rijksoverheid,JenV,Justis,
jaarverslagrechtspraak.nl,http://jaarverslagrechtspraak.nl,Overheid,JenV,RvdR,
jenvconnect.nl,http://jenvconnect.nl,Rijksoverheid,JenV,,
jetelefoondebaas.nl,http://www.jetelefoondebaas.nl,Overheid,JenV,AP,
jeugdautoriteit.nl,http://www.jeugdautoriteit.nl,Rijksoverheid,VWS,,Kerndepartement/Jeugd
jeugdconnect.nl,http://www.jeugdconnect.nl,Rijksoverheid,JenV,,
jeugdmonitor.cbs.nl,http://jeugdmonitor.cbs.nl,Overheid,EZK,CBS,
job.ubrijk.nl,http://job.ubrijk.nl,Rijksoverheid,BZK,UBR,EC O&P
jobs.werkenvoornederland.nl,http://jobs.werkenvoornederland.nl,Rijksoverheid,BZK,P-direkt,
jokesmitprijs.nl,http://www.jokesmitprijs.nl,Rijksoverheid,OCW,,
jongerenteam.nl,http://www.jongerenteam.nl,Overheid,JenV,Politie,
jonglereneten.nl,http://www.jonglereneten.nl,Rijksoverheid,LNV,RVO,
justid.nl,http://www.justid.nl,Rijksoverheid,JenV,Justid,
justis.nl,http://www.justis.nl,Rijksoverheid,JenV,Justis,
justitieconnect.nl,http://www.justitieconnect.nl,Rijksoverheid,JenV,Justid,
justitieleictorganisatie.nl,http://www.justitieleictorganisatie.nl,Rijksoverheid,JenV,DJI,
justitieleinterventies.nl,http://www.justitieleinterventies.nl,Overheid,JenV,NJI,Erkenningscommissie Interventies
kaart.pdok.nl,http://kaart.pdok.nl,Overheid,BZK,Kadaster,Materiebeleid (PDOK)
kaarten.datawonen.nl,http://kaarten.datawonen.nl,Rijksoverheid,BZK,,
kaartenvannederland.kadaster.nl,http://kaartenvannederland.kadaster.nl,Overheid,BZK,Kadaster,
kabga.aw,http://www.kabga.aw,Rijksoverheid,BZK,,
kabinetsformatie2021.nl,http://www.kabinetsformatie2021.nl,Overheid,AZ,RVD,
kabinetvandekoning.nl,http://www.kabinetvandekoning.nl,Overheid,AZ,RVD,KvdK
kadaster.com,http://www.kadaster.com,Overheid,BZK,Kadaster,
kadaster.nl,http://www.kadaster.nl,Overheid,BZK,Kadaster,
kadaster.webgispublisher.nl,http://kadaster.webgispublisher.nl,Overheid,BZK,Kadaster,
kamerindeklas.nl,http://kamerindeklas.nl,Overheid,TK,,
kamervoordebinnenvisserij.nl,http://kamervoordebinnenvisserij.nl,Rijksoverheid,LNV,RVO,
kansrijkestartnl.nl,http://www.kansrijkestartnl.nl,Rijksoverheid,VWS,,Kerndepartement/Jeugd
kansspelautoriteit.nl,http://kansspelautoriteit.nl,Rijksoverheid,JenV,Ksa,
kasteelgroeneveld.nl,http://kasteelgroeneveld.nl,Overheid,LNV,Staatsbosbeheer,
kb.nl,http://www.kb.nl,Overheid,OCW,KB,
kbvg.nl,http://www.kbvg.nl,Overheid,JenV,KBvG,
kcb.nl,http://kcb.nl,Overheid,LNV,KCB,
kcwj.nl,http://www.kcwj.nl,Rijksoverheid,JenV,,Directie Wetgeving
kemprogramma.nl,http://kemprogramma.nl,Rijksoverheid,EZK,RVO,
kennis.cultureelerfgoed.nl,http://kennis.cultureelerfgoed.nl,Rijksoverheid,OCW,RCE,
kenniscentrum-oo.nl,http://kenniscentrum-oo.nl,Rijksoverheid,IenW,RWS,WVL
kennisknooppuntparticipatie.nl,http://www.kennisknooppuntparticipatie.nl,Rijksoverheid,IenW,BSK,DP
kennisnetwerkbiociden.nl,http://www.kennisnetwerkbiociden.nl,Rijksoverheid,VWS,RIVM,
kennisnetwerkspv.nl,http://www.kennisnetwerkspv.nl,Rijksoverheid,IenW,BSK,DGMo
kennisopenbaarbestuur.nl,http://www.kennisopenbaarbestuur.nl,Rijksoverheid,BZK,,
kennisplatform.nl,http://www.kennisplatform.nl,Rijksoverheid,VWS,RIVM,
kennisplatformondermijning.nl,http://www.kennisplatformondermijning.nl,Overheid,JenV,RIEC/LIEC,
kennisplatformveehouderij.nl,http://www.kennisplatformveehouderij.nl,Rijksoverheid,VWS,RIVM,
kennisplatformvhg.nl,http://kennisplatformvhg.nl,Rijksoverheid,VWS,RIVM,
kennisplatformwerkeninkomen.nl,http://www.kennisplatformwerkeninkomen.nl,Rijksoverheid,SZW,,DGSZI/SV
keringhuis.nl,http://www.keringhuis.nl,Rijksoverheid,IenW,RWS,WNZ
kerstfeest2021nfi.nl,http://www.kerstfeest2021nfi.nl,Rijksoverheid,JenV,NFI,
keurmerk.nl,http://keurmerk.nl,Overheid,JenV,Keurmerkinstituut ,
kia.pleio.nl,http://kia.pleio.nl,Overheid,OCW,NA,
kiesdefiets.nl,http://www.kiesdefiets.nl,Rijksoverheid,IenW,,
kiesraad.nl,http://www.kiesraad.nl,Overheid,BZK,Kiesraad,
kiezen-en-delen.nl,http://kiezen-en-delen.nl,Rijksoverheid,VWS,TSD,
kijkenoverdegrens.nl,http://www.kijkenoverdegrens.nl,Rijksoverheid,BZK,,
kijkopeuropa.nl,http://www.kijkopeuropa.nl,Rijksoverheid,BUZA,,
kik-starter.nl,http://www.kik-starter.nl,Rijksoverheid,VWS,ZIN,
kik-v.nl,http://www.kik-v.nl,Rijksoverheid,VWS,ZIN,
kimnet.nl,http://www.kimnet.nl,Rijksoverheid,IenW,BSK,KiM
kinderbescherming.nl,http://www.kinderbescherming.nl,Rijksoverheid,JenV,RVDK,
kleinlef.pleio.nl,http://kleinlef.pleio.nl,Overheid,ICTU,,
klicviewer.nl/klic-viewer,http://www.klicviewer.nl/klic-viewer,Overheid,BZK,Kadaster,
klimaatadaptatienederland.nl,http://klimaatadaptatienederland.nl,Rijksoverheid,IenW,RWS,
klimaatakkoord.nl,http://www.klimaatakkoord.nl,Rijksoverheid,EZK,,DG K&E K
klimaatmonitor.databank.nl,http://klimaatmonitor.databank.nl,Rijksoverheid,IenW,RWS,
knaw.nl,http://www.knaw.nl,Overheid,OCW,KNAW,
knawonderwijsprijs.nl,http://www.knawonderwijsprijs.nl,Overheid,OCW,KNAW,
knmi.nl,http://www.knmi.nl,Rijksoverheid,IenW,KNMI,
knmidata.nl,http://www.knmidata.nl,Rijksoverheid,IenW,KNMI,
knmidc.org,http://www.knmidc.org,Rijksoverheid,IenW,KNMI,
knmiprojects.nl,http://www.knmiprojects.nl,Rijksoverheid,IenW,KNMI,
knooppunt-hoevelaken.nl,http://knooppunt-hoevelaken.nl,Rijksoverheid,IenW,RWS,
knooppuntjoure.nl,http://www.knooppuntjoure.nl,Rijksoverheid,IenW,RWS,NN
koenigshaus.nl,http://www.koenigshaus.nl,Overheid,AZ,RVD,CKH
kombijde.politie.nl,http://kombijde.politie.nl,Overheid,JenV,Politie,
komuitjeschuld.nl,http://www.komuitjeschuld.nl,Rijksoverheid,SZW,Inspectie SZW,SG/C
komveiligthuis.nl,http://www.komveiligthuis.nl,Rijksoverheid,IenW,BSK,DCO
koninklijkhuis.nl,http://www.koninklijkhuis.nl,Overheid,AZ,RVD,CKH
koopoverheid.nl,http://www.koopoverheid.nl,Overheid,BZK,UBR,KOOP
kosteneffectiviteitvanpreventie.nl,http://www.kosteneffectiviteitvanpreventie.nl,Rijksoverheid,VWS,RIVM,
krijgiktozo.nl,http://www.krijgiktozo.nl,Rijksoverheid,SZW,,DGSZI/PDV
krmportaal.nl,http://www.krmportaal.nl,Rijksoverheid,IenW,RWS,
krmrapportagetool.nl,http://www.krmrapportagetool.nl,Rijksoverheid,IenW,RWS,
ktv-servicedesk.ciz.nl,http://ktv-servicedesk.ciz.nl,Overheid,VWS,CIZ,
kvk.nl,http://www.kvk.nl,Overheid,EZK,KvK,
kvkregiodata.nl,http://kvkregiodata.nl,Overheid,EZK,KvK,
kwartslag.aandeslagmetdeomgevingswet.nl,http://kwartslag.aandeslagmetdeomgevingswet.nl,Overheid,BZK,,DGBRW/PDADS
laamagazine.nl/aanpak-adreskwaliteit,http://www.laamagazine.nl/aanpak-adreskwaliteit,Rijksoverheid,BZK,RVIG,
labs.kadaster.nl,http://labs.kadaster.nl,Overheid,BZK,Kadaster,
lancewadplan.nl,http://www.lancewadplan.nl,Rijksoverheid,IenW,RWS,
landelijkeadviescommissieplaatsing.nl,http://www.landelijkeadviescommissieplaatsing.nl,Rijksoverheid,JenV,LAP,
landelijkemeldkamer.org,http://www.landelijkemeldkamer.org,Overheid,JenV,Politie,
landelijkregisterkinderopvang.nl,http://www.landelijkregisterkinderopvang.nl,Rijksoverheid,SZW,,DGW/KO
lap3.nl,http://lap3.nl,Rijksoverheid,IenW,RWS,
lavsinfo.nl,http://www.lavsinfo.nl,Rijksoverheid,IenW,RWS,WVL
lbio.nl,http://www.lbio.nl,Overheid,JenV,LBIO,
lchulpmiddelen.nl,http://www.lchulpmiddelen.nl,Rijksoverheid,VWS,,
lci.rivm.nl,http://lci.rivm.nl,Rijksoverheid,VWS,RIVM,
lcms.nl,http://www.lcms.nl,Overheid,JenV,IFV,
lcnk.nl,http://www.lcnk.nl,Overheid,EZK,RVO,
learningnetwork.pleio.nl,http://learningnetwork.pleio.nl,Rijksoverheid,EZK,RVO,
leefbaarometer.nl,http://www.leefbaarometer.nl,Rijksoverheid,BZK,,
leeromgeving.leerportaalienw.nl,http://leeromgeving.leerportaalienw.nl,Rijksoverheid,IenW,RWS,
leerplatformmirt.nl,http://leerplatformmirt.nl,Rijksoverheid,IenW,RWS,
leer-rijk.nl,http://www.leer-rijk.nl,Rijksoverheid,BZK,Logius,Keteninf/Digiinkoop
lees-rijk.nl,http://www.lees-rijk.nl,Rijksoverheid,BZK,Logius,Keteninf/Digiinkoop
leidraadse.nl,http://www.leidraadse.nl,Rijksoverheid,IenW,RWS,GPO
lerarenontwikkelfonds.nl,http://www.lerarenontwikkelfonds.nl,Rijksoverheid,OCW,,
lerarenportfolio.nl,http://www.lerarenportfolio.nl,Rijksoverheid,VWS,,
leren.rijksacademie.nl,http://leren.rijksacademie.nl,Rijksoverheid,FIN,Rijksacademie,
lerenbij.ciz.nl,http://lerenbij.ciz.nl,Overheid,VWS,CIZ,
lerenenwerken.nl,http://www.lerenenwerken.nl,Overheid,SZW,UWV,
lerenvoorveiligheid.nl,http://www.lerenvoorveiligheid.nl,Rijksoverheid,VWS,RIVM,
letterenfonds.nl,http://www.letterenfonds.nl,Overheid,OCW,NLF,
levjenv.nl,http://levjenv.nl,Rijksoverheid,JenV,,
life-ip-deltanatuur.nl,http://life-ip-deltanatuur.nl,Rijksoverheid,EZK,RVO,
lijstvangevallenen.nl,http://www.lijstvangevallenen.nl,Overheid,TK,,
linkeddata.overheid.nl,http://linkeddata.overheid.nl,Overheid,BZK,UBR,KOOP
lintjes.nl,http://www.lintjes.nl,Overheid,KdNO,,
liv.nl,http://liv.nl,Overheid,IenW,RDW,
live.dutchwebinar.com/csbn,http://live.dutchwebinar.com/csbn,Rijksoverheid,JenV,NCSC,
lma.nl,http://www.lma.nl,Rijksoverheid,IenW,RWS,
loc.ubrijk.nl,http://loc.ubrijk.nl,Rijksoverheid,BZK,UBR,EC O&P
locatiescan.info,http://locatiescan.info,Overheid,EZK,KvK,
locov.nl,http://www.locov.nl,Rijksoverheid,IenW,BSK,DP
logerenbijdeboswachter.nl,http://www.logerenbijdeboswachter.nl,Overheid,LNV,Staatsbosbeheer,
logius.nl,http://www.logius.nl,Rijksoverheid,BZK,Logius,Informatievoorzieningen
lokaalklimaatportaal.nl,http://www.lokaalklimaatportaal.nl,Rijksoverheid,EZK,,DG K&E K
lokale-democratie.nl,http://www.lokale-democratie.nl,Rijksoverheid,BZK,,
loket.anvs.nl,http://loket.anvs.nl,Rijksoverheid,IenW,ANVS,
loketgentherapie.nl,http://www.loketgentherapie.nl,Rijksoverheid,VWS,RIVM,
loketgezondleven.nl,http://www.loketgezondleven.nl,Rijksoverheid,VWS,RIVM,
loonaangifteketen.nl,http://www.loonaangifteketen.nl,Overheid,SZW,UWV,
ls3.mfaservices.nl,http://ls3.mfaservices.nl,Rijksoverheid,BUZA,,
luchtvaartindetoekomst.nl,http://www.luchtvaartindetoekomst.nl,Rijksoverheid,IenW,BSK,DGLM
luchtvaartmeteo.nl,http://www.luchtvaartmeteo.nl,Rijksoverheid,IenW,KNMI,
lvnl.nl,http://www.lvnl.nl,Overheid,IenW,LVNL,
lzalp.nl,http://www.lzalp.nl,Rijksoverheid,VWS,CIBG,
maakhetzeniettemakkelijk.nl,http://www.maakhetzeniettemakkelijk.nl,Rijksoverheid,JenV,,
maatwerkvoormensen.nl,http://www.maatwerkvoormensen.nl,Rijksoverheid,IenW,BSK,IBI
machtigen.digid.nl,http://machtigen.digid.nl,Rijksoverheid,BZK,Logius,DigiD
magazine.forumstandaardisatie.nl,http://magazine.forumstandaardisatie.nl,Rijksoverheid,BZK,Logius,BFS
magazines.aandeslagmetdeomgevingswet.nl,http://magazines.aandeslagmetdeomgevingswet.nl,Overheid,BZK,,PDGOW
magazines.agentschaptelecom.nl,http://magazines.agentschaptelecom.nl,Rijksoverheid,EZK,AT,
magazines.algemenebestuursdienst.nl/abdblad,http://magazines.algemenebestuursdienst.nl/abdblad,Rijksoverheid,BZK,ABD,
magazines.algemenerekenkamer.nl/rekenmaar,http://magazines.algemenerekenkamer.nl/rekenmaar,Overheid,AR,,
magazines.arboportaal.nl/arbomagazine,http://magazines.arboportaal.nl/arbomagazine,Rijksoverheid,SZW,,DGW/G&VW
magazines.autoriteitnvs.nl,http://magazines.autoriteitnvs.nl,Rijksoverheid,IenW,ANVS,
magazines.collegevanrijksadviseurs.nl/panoramanederland,http://magazines.collegevanrijksadviseurs.nl/panoramanederland,Rijksoverheid,BZK,RVB,
magazines.cultureelerfgoed.nl,http://magazines.cultureelerfgoed.nl,Rijksoverheid,OCW,RCE,
magazines.defensie.nl,http://magazines.defensie.nl,Rijksoverheid,DEF,,Directie Communicatie
magazines.deltaprogramma.nl/deltanieuws,http://magazines.deltaprogramma.nl/deltanieuws,Rijksoverheid,IenW,BSK,DC
magazines.dji.nl/djizien,http://magazines.dji.nl/djizien,Rijksoverheid,JenV,DJI,
magazines.emissieautoriteit.nl/jaarverslag-nea,http://magazines.emissieautoriteit.nl/jaarverslag-nea,Overheid,EZK,NEA,
magazines.forensischinstituut.nl/atnfi,http://magazines.forensischinstituut.nl/atnfi,Rijksoverheid,JenV,NFI,
magazines.government.nl/anf,http://magazines.government.nl/anf,Rijksoverheid,LNV,,STAF COM 
